protocol,seed,strategy,alpha_source_penalty,top_k,train_n,test_n,target_accuracy,target_balanced_accuracy,target_macro_f1,target_nll,target_ece_10bin,target_mean_confidence,source_probe_accuracy,source_probe_balanced_accuracy,source_probe_macro_f1,source_probe_nll,source_probe_ece_10bin,source_probe_mean_confidence,delta_target_minus_target_top256_accuracy,delta_target_minus_target_top256_balanced_accuracy,delta_target_minus_target_top256_macro_f1,delta_target_minus_target_top256_nll,delta_target_minus_target_top256_ece_10bin,delta_target_minus_target_top256_mean_confidence,delta_source_probe_minus_target_top256_accuracy,delta_source_probe_minus_target_top256_balanced_accuracy,delta_source_probe_minus_target_top256_macro_f1,delta_source_probe_minus_target_top256_nll,delta_source_probe_minus_target_top256_ece_10bin,delta_source_probe_minus_target_top256_mean_confidence
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0_top_64,0.0,64,1512,586,0.6706484641638225,0.6590530450665261,0.6567011474147316,0.843281567234778,0.15052231009331446,0.8211707742571369,0.6825938566552902,0.6600448383887874,0.6368397904921834,0.6186116099626058,0.04289704373658704,0.7102043641167027,-0.09385665529010245,-0.1004520408709142,-0.10151035162236499,-0.6175810910206083,-0.035218025948846654,-0.12713280182906384,-0.005119453924914641,-0.0034965034965035446,-0.00435468880518175,-0.03229595181020384,-0.07605847231288995,-0.09646446251297902
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0_top_128,0.0,128,1512,586,0.71160409556314,0.7048799779902332,0.7030775382755398,1.3144864529063858,0.212163926464324,0.9237680220274638,0.6808873720136519,0.6528217005924013,0.6323084821173921,0.6101172423386948,0.0623415693981087,0.7432289414117605,-0.05290102389078499,-0.0546251079472071,-0.055133960761556855,-0.14637620534900053,0.026423590422162885,-0.024535554058736975,-0.0068259385665528916,-0.010719641292889603,-0.00888599717997307,-0.04079031943411482,-0.05661394665136829,-0.06343988521792121
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0_top_256,0.0,256,1512,586,0.764505119453925,0.7595050859374403,0.7582114990370966,1.4608626582553863,0.1857403360421611,0.9483035760862008,0.6877133105802048,0.6635413418852909,0.6411944792973652,0.6509075617728096,0.11895551604947699,0.8066688266296818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0.5_top_64,0.5,64,1512,586,0.6808873720136519,0.6787357375946687,0.6774295369182702,0.7576897665200816,0.07238028414530193,0.7493138158880894,0.5494880546075085,0.5529820497973363,0.519672131147541,0.7154202309795243,0.0644793102469864,0.613967364854495,-0.08361774744027306,-0.08076934834277161,-0.08078196211882638,-0.7031728917353047,-0.11336005189685919,-0.19898976019811132,-0.1382252559726963,-0.11055929208795456,-0.12152234814982421,0.06451266920671472,-0.05447620580249059,-0.19270146177518677
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0.5_top_128,0.5,128,1512,586,0.7184300341296929,0.7121649815438934,0.7100761979027633,0.8070771290000891,0.14788183636001798,0.8660553628965483,0.6382252559726962,0.6277225958754621,0.5986560702978614,0.6528742509473031,0.07012211570390468,0.708347371676601,-0.0460750853242321,-0.047340104393546856,-0.048135301134333286,-0.6537855292552972,-0.03785849968214314,-0.08224821318965247,-0.0494880546075086,-0.03581874600982882,-0.042538408999503785,0.0019666891744934967,-0.048833400345572306,-0.09832145495308076
current_fold0_test_fold1_val,20260811,target_over_source_alpha_0.5_top_256,0.5,256,1512,586,0.735494880546075,0.7318027756761506,0.7293064829147115,1.9103295021923778,0.22470038289291225,0.9575825089760868,0.6979522184300341,0.6604382878268229,0.6446258055895322,0.6717090465340676,0.10082392561780644,0.7987761440478405,-0.029010238907849928,-0.027702310261289664,-0.028905016122385163,0.44946684393699154,0.038960046850751134,0.009278932889886016,0.010238907849829282,-0.003103054058468002,0.003431326292167025,0.020801484761257982,-0.01813159043167055,-0.007892682581841282
current_fold0_test_fold1_val,20260811,target_over_source_alpha_1_top_64,1.0,64,1512,586,0.621160409556314,0.616620239814751,0.6163290939427779,0.831636009285538,0.06173586184248369,0.6819571529614447,0.5563139931740614,0.539471144566686,0.5165814222075564,0.6945902309628996,0.03294696181697066,0.563199280592841,-0.14334470989761094,-0.14288484612268926,-0.1418824050943187,-0.6292266489698483,-0.12400447419967742,-0.2663464231247561,-0.1313993174061434,-0.12407019731860491,-0.12461305708980874,0.04368266919009001,-0.08600855423250633,-0.2434695460368408
current_fold0_test_fold1_val,20260811,target_over_source_alpha_1_top_128,1.0,128,1512,586,0.6655290102389079,0.6632830471299417,0.6582998488679559,0.928774031164975,0.15448145641012964,0.8152979292536365,0.5784982935153583,0.5768339940314462,0.5450010216431165,0.6988392781045584,0.0816082667562181,0.6601065602715764,-0.0989761092150171,-0.09622203880749858,-0.09991165016914072,-0.5320886270904113,-0.03125887963203147,-0.13300564683256422,-0.10921501706484649,-0.08670734785384471,-0.09619345765424869,0.04793171633174875,-0.03734724929325889,-0.14656226635810532
current_fold0_test_fold1_val,20260811,target_over_source_alpha_1_top_256,1.0,256,1512,586,0.7184300341296929,0.7108218508074069,0.7068092800698796,2.3753238371298266,0.24241991389720313,0.9600600711119269,0.6672354948805461,0.645516903478687,0.6218566649127858,0.6842330004341864,0.12217409267698003,0.789409587557526,-0.0460750853242321,-0.048683235130033364,-0.05140221896721697,0.9144611788744403,0.05667957785504202,0.011756495025726177,-0.020477815699658675,-0.01802443840660395,-0.019337814384579377,0.03332543866137683,0.0032185766275030364,-0.017259239072155763
current_fold0_test_fold1_val,20260811,target_over_source_alpha_2_top_64,2.0,64,1512,586,0.6109215017064846,0.6033312699176926,0.6033550503035944,0.8656972017778323,0.05944865896770967,0.6659438971755719,0.5358361774744027,0.5234659183703769,0.49944729172947444,0.6944037330553153,0.01899799476924579,0.5538981840928543,-0.15358361774744034,-0.15617381601974767,-0.15485644873350224,-0.595165456477554,-0.12629167707445144,-0.28235967891062885,-0.1518771331058021,-0.14007542351491398,-0.14174718756789073,0.04349617128250571,-0.09995752128023119,-0.25277064253682746
