cramers_v,feasibility_status,mean_source_purity,mutual_information_nats,normalized_mutual_information,permutation_p_value_mi,pure_source_group_fraction,samples,source_classes,source_field,status,target_classes,target_field
0.5141058627334014,usable_with_caution,0.6881419234360411,0.4604407932133845,0.2793870694678566,0.000999000999000999,0.3333333333333333,93,9,project_id,complete,4,Land type
0.2261983081350844,usable_with_caution,0.4598765432098766,0.06838688743667319,0.06215074945787778,0.06393606393606394,0.0,93,3,split_role,complete,4,Land type
0.9201620037838703,not_viable_for_group_holdout,0.9444444444444444,1.0659574013447533,0.6460887606870874,0.000999000999000999,0.8888888888888888,93,9,project_id,complete,5,Land use
0.736158081646873,not_viable_for_group_holdout,0.7623456790123457,0.6199583341050703,0.5624929091396029,0.000999000999000999,0.3333333333333333,93,3,split_role,complete,5,Land use
0.5503656323139614,weak_due_to_single_project_labels,0.7159197012138189,0.547288820082935,0.3367734993515017,0.000999000999000999,0.3333333333333333,93,9,project_id,complete,4,Land cover
0.15211438710623623,weak_due_to_single_project_labels,0.4256172839506173,0.02860738760640355,0.026552378181881945,0.5864135864135864,0.0,93,3,split_role,complete,4,Land cover
0.2308076332495986,usable_with_caution,0.9448205208009129,0.039205155846836606,0.033429172623288886,0.7942057942057942,0.5555555555555556,84,9,project_id,complete,2,Utility crossing
0.05847053462046861,usable_with_caution,0.934126984126984,0.0018138392375533496,0.002946195297350998,0.8701298701298701,0.0,84,3,split_role,complete,2,Utility crossing
1.0,not_viable_for_group_holdout,1.0,1.129827638737445,0.7095307546957385,0.000999000999000999,1.0,93,9,project_id,complete,4,Construction workers
0.6875408484596778,not_viable_for_group_holdout,0.5574074074074075,0.44423179830992526,0.42524103701264254,0.000999000999000999,0.0,93,3,split_role,complete,4,Construction workers
0.48801670786854967,weak_due_to_single_project_labels,0.8848039215686274,0.24982101687056926,0.18408897555034787,0.000999000999000999,0.6666666666666666,93,9,project_id,complete,3,Relative groundwater level
0.2704350327489466,weak_due_to_single_project_labels,0.7679012345679013,0.10109279891008077,0.12490360082890604,0.001998001998001998,0.3333333333333333,93,3,split_role,complete,3,Relative groundwater level
