seed,direction,preprocessor,metric,value
20260811,synthetic_to_real_world,raw,accuracy,0.43666666666666665
20260811,synthetic_to_real_world,raw,balanced_accuracy,0.4366666666666667
20260811,synthetic_to_real_world,raw,macro_f1,0.3423478099492822
20260811,real_world_to_synthetic,raw,accuracy,0.3511111111111111
20260811,real_world_to_synthetic,raw,balanced_accuracy,0.3511111111111111
20260811,real_world_to_synthetic,raw,macro_f1,0.20336096463118916
20260811,synthetic_to_real_world,per_image_zscore,accuracy,0.44
20260811,synthetic_to_real_world,per_image_zscore,balanced_accuracy,0.44
20260811,synthetic_to_real_world,per_image_zscore,macro_f1,0.33999077411969725
20260811,real_world_to_synthetic,per_image_zscore,accuracy,0.3488888888888889
20260811,real_world_to_synthetic,per_image_zscore,balanced_accuracy,0.34888888888888886
20260811,real_world_to_synthetic,per_image_zscore,macro_f1,0.19881163696281592
20260811,synthetic_to_real_world,per_image_equalized,accuracy,0.4266666666666667
20260811,synthetic_to_real_world,per_image_equalized,balanced_accuracy,0.4266666666666667
20260811,synthetic_to_real_world,per_image_equalized,macro_f1,0.33093564833953426
20260811,real_world_to_synthetic,per_image_equalized,accuracy,0.34
20260811,real_world_to_synthetic,per_image_equalized,balanced_accuracy,0.34
20260811,real_world_to_synthetic,per_image_equalized,macro_f1,0.18077224788634186
20260812,synthetic_to_real_world,raw,accuracy,0.43666666666666665
20260812,synthetic_to_real_world,raw,balanced_accuracy,0.4366666666666667
20260812,synthetic_to_real_world,raw,macro_f1,0.3423478099492822
20260812,real_world_to_synthetic,raw,accuracy,0.3511111111111111
20260812,real_world_to_synthetic,raw,balanced_accuracy,0.3511111111111111
20260812,real_world_to_synthetic,raw,macro_f1,0.20336096463118916
20260812,synthetic_to_real_world,per_image_zscore,accuracy,0.44
20260812,synthetic_to_real_world,per_image_zscore,balanced_accuracy,0.44
20260812,synthetic_to_real_world,per_image_zscore,macro_f1,0.33999077411969725
20260812,real_world_to_synthetic,per_image_zscore,accuracy,0.3488888888888889
20260812,real_world_to_synthetic,per_image_zscore,balanced_accuracy,0.34888888888888886
20260812,real_world_to_synthetic,per_image_zscore,macro_f1,0.19881163696281592
20260812,synthetic_to_real_world,per_image_equalized,accuracy,0.4266666666666667
20260812,synthetic_to_real_world,per_image_equalized,balanced_accuracy,0.4266666666666667
20260812,synthetic_to_real_world,per_image_equalized,macro_f1,0.33093564833953426
20260812,real_world_to_synthetic,per_image_equalized,accuracy,0.34
20260812,real_world_to_synthetic,per_image_equalized,balanced_accuracy,0.34
20260812,real_world_to_synthetic,per_image_equalized,macro_f1,0.18077224788634186
20260813,synthetic_to_real_world,raw,accuracy,0.43666666666666665
20260813,synthetic_to_real_world,raw,balanced_accuracy,0.4366666666666667
20260813,synthetic_to_real_world,raw,macro_f1,0.3423478099492822
20260813,real_world_to_synthetic,raw,accuracy,0.3511111111111111
20260813,real_world_to_synthetic,raw,balanced_accuracy,0.3511111111111111
20260813,real_world_to_synthetic,raw,macro_f1,0.20336096463118916
20260813,synthetic_to_real_world,per_image_zscore,accuracy,0.44
20260813,synthetic_to_real_world,per_image_zscore,balanced_accuracy,0.44
20260813,synthetic_to_real_world,per_image_zscore,macro_f1,0.33999077411969725
20260813,real_world_to_synthetic,per_image_zscore,accuracy,0.3488888888888889
20260813,real_world_to_synthetic,per_image_zscore,balanced_accuracy,0.34888888888888886
20260813,real_world_to_synthetic,per_image_zscore,macro_f1,0.19881163696281592
20260813,synthetic_to_real_world,per_image_equalized,accuracy,0.4266666666666667
20260813,synthetic_to_real_world,per_image_equalized,balanced_accuracy,0.4266666666666667
20260813,synthetic_to_real_world,per_image_equalized,macro_f1,0.33093564833953426
20260813,real_world_to_synthetic,per_image_equalized,accuracy,0.34
20260813,real_world_to_synthetic,per_image_equalized,balanced_accuracy,0.34
20260813,real_world_to_synthetic,per_image_equalized,macro_f1,0.18077224788634186
20260814,synthetic_to_real_world,raw,accuracy,0.43666666666666665
20260814,synthetic_to_real_world,raw,balanced_accuracy,0.4366666666666667
20260814,synthetic_to_real_world,raw,macro_f1,0.3423478099492822
20260814,real_world_to_synthetic,raw,accuracy,0.3511111111111111
20260814,real_world_to_synthetic,raw,balanced_accuracy,0.3511111111111111
20260814,real_world_to_synthetic,raw,macro_f1,0.20336096463118916
20260814,synthetic_to_real_world,per_image_zscore,accuracy,0.44
20260814,synthetic_to_real_world,per_image_zscore,balanced_accuracy,0.44
20260814,synthetic_to_real_world,per_image_zscore,macro_f1,0.33999077411969725
20260814,real_world_to_synthetic,per_image_zscore,accuracy,0.3488888888888889
20260814,real_world_to_synthetic,per_image_zscore,balanced_accuracy,0.34888888888888886
20260814,real_world_to_synthetic,per_image_zscore,macro_f1,0.19881163696281592
20260814,synthetic_to_real_world,per_image_equalized,accuracy,0.4266666666666667
20260814,synthetic_to_real_world,per_image_equalized,balanced_accuracy,0.4266666666666667
20260814,synthetic_to_real_world,per_image_equalized,macro_f1,0.33093564833953426
20260814,real_world_to_synthetic,per_image_equalized,accuracy,0.34
20260814,real_world_to_synthetic,per_image_equalized,balanced_accuracy,0.34
20260814,real_world_to_synthetic,per_image_equalized,macro_f1,0.18077224788634186
20260815,synthetic_to_real_world,raw,accuracy,0.43666666666666665
20260815,synthetic_to_real_world,raw,balanced_accuracy,0.4366666666666667
20260815,synthetic_to_real_world,raw,macro_f1,0.3423478099492822
20260815,real_world_to_synthetic,raw,accuracy,0.3511111111111111
20260815,real_world_to_synthetic,raw,balanced_accuracy,0.3511111111111111
20260815,real_world_to_synthetic,raw,macro_f1,0.20336096463118916
20260815,synthetic_to_real_world,per_image_zscore,accuracy,0.44
20260815,synthetic_to_real_world,per_image_zscore,balanced_accuracy,0.44
20260815,synthetic_to_real_world,per_image_zscore,macro_f1,0.33999077411969725
20260815,real_world_to_synthetic,per_image_zscore,accuracy,0.3488888888888889
20260815,real_world_to_synthetic,per_image_zscore,balanced_accuracy,0.34888888888888886
20260815,real_world_to_synthetic,per_image_zscore,macro_f1,0.19881163696281592
20260815,synthetic_to_real_world,per_image_equalized,accuracy,0.4266666666666667
20260815,synthetic_to_real_world,per_image_equalized,balanced_accuracy,0.4266666666666667
20260815,synthetic_to_real_world,per_image_equalized,macro_f1,0.33093564833953426
20260815,real_world_to_synthetic,per_image_equalized,accuracy,0.34
20260815,real_world_to_synthetic,per_image_equalized,balanced_accuracy,0.34
20260815,real_world_to_synthetic,per_image_equalized,macro_f1,0.18077224788634186
