sample_tag,split_role,project_id,activity_id,member,variant,png_path,pearson_r,mae,rmse,top_band_mae,bottom_band_mae,border_mae,center_mae
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,original,rendered/original/train__013__013_1__Path1__original.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,log_clip,rendered/log_clip/train__013__013_1__Path1__log_clip.png,0.5630618595262287,0.23745164275169373,0.24893997609615326,0.2484017312526703,0.1658003032207489,0.21704848110675812,0.24447892606258392
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,zscore_clip,rendered/zscore_clip/train__013__013_1__Path1__zscore_clip.png,0.9697041765940603,0.020530225709080696,0.04745718836784363,0.02819652110338211,0.0008349016425199807,0.01759527251124382,0.021474367007613182
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,amplitude_jitter,rendered/amplitude_jitter/train__013__013_1__Path1__amplitude_jitter.png,0.9999999999999682,1.5073544190613575e-08,2.6453935930703665e-08,1.3670057086301313e-08,1.56153081576349e-08,1.5205843695298427e-08,1.5025538147028783e-08
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,remove_top_band,rendered/remove_top_band/train__013__013_1__Path1__remove_top_band.png,0.9648524628719118,0.0045241243205964565,0.0234460961073637,0.09651465713977814,0.0,0.01713056117296219,0.00041146037983708084
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,remove_bottom_band,rendered/remove_bottom_band/train__013__013_1__Path1__remove_bottom_band.png,0.999991542424459,5.2395615057321265e-05,0.00035649805795401335,0.0,0.0011177731212228537,0.00018806062871590257,3.7202530620561447e-06
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,remove_border,rendered/remove_border/train__013__013_1__Path1__remove_border.png,0.8737102041667577,0.007505342364311218,0.04214315488934517,0.02596864104270935,0.0007943559903651476,0.026903923600912094,0.0
train__013__013_1__Path1,train,013,013.1,013/013.1/Radargrams/Path1.sgy,time_reverse,rendered/time_reverse/train__013__013_1__Path1__time_reverse.png,-0.0009323971618124844,0.06166496500372887,0.1225505843758583,0.03027329221367836,0.03027329035103321,0.05292532965540886,0.06420992314815521
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,original,rendered/original/train__013__013_2__Path1__original.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,log_clip,rendered/log_clip/train__013__013_2__Path1__log_clip.png,0.5630618595262287,0.23745164275169373,0.24893997609615326,0.2484017312526703,0.1658003032207489,0.21704848110675812,0.24447892606258392
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,zscore_clip,rendered/zscore_clip/train__013__013_2__Path1__zscore_clip.png,0.9697041765940603,0.020530225709080696,0.04745718836784363,0.02819652110338211,0.0008349016425199807,0.01759527251124382,0.021474367007613182
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,amplitude_jitter,rendered/amplitude_jitter/train__013__013_2__Path1__amplitude_jitter.png,0.9999999999999682,1.5073544190613575e-08,2.6453935930703665e-08,1.3670057086301313e-08,1.56153081576349e-08,1.5205843695298427e-08,1.5025538147028783e-08
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,remove_top_band,rendered/remove_top_band/train__013__013_2__Path1__remove_top_band.png,0.9648524628719118,0.0045241243205964565,0.0234460961073637,0.09651465713977814,0.0,0.01713056117296219,0.00041146037983708084
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,remove_bottom_band,rendered/remove_bottom_band/train__013__013_2__Path1__remove_bottom_band.png,0.999991542424459,5.2395615057321265e-05,0.00035649805795401335,0.0,0.0011177731212228537,0.00018806062871590257,3.7202530620561447e-06
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,remove_border,rendered/remove_border/train__013__013_2__Path1__remove_border.png,0.8737102041667577,0.007505342364311218,0.04214315488934517,0.02596864104270935,0.0007943559903651476,0.026903923600912094,0.0
train__013__013_2__Path1,train,013,013.2,013/013.2/Radargrams/Path1.sgy,time_reverse,rendered/time_reverse/train__013__013_2__Path1__time_reverse.png,-0.0009323971618124844,0.06166496500372887,0.1225505843758583,0.03027329221367836,0.03027329035103321,0.05292532965540886,0.06420992314815521
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,original,rendered/original/train__013__013_3__Path1__original.png,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,log_clip,rendered/log_clip/train__013__013_3__Path1__log_clip.png,0.5858877274277332,0.23264910280704498,0.24504685401916504,0.24295394122600555,0.14389581978321075,0.20282860100269318,0.2366081327199936
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,zscore_clip,rendered/zscore_clip/train__013__013_3__Path1__zscore_clip.png,0.9662440332601674,0.030630823224782944,0.06859008967876434,0.05127904191613197,0.0007133877370506525,0.02771000936627388,0.03100338950753212
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,amplitude_jitter,rendered/amplitude_jitter/train__013__013_3__Path1__amplitude_jitter.png,0.9999999999999364,2.9686185953892164e-08,3.8173780581018946e-08,2.9264111134352788e-08,3.077055765743353e-08,2.9826956904344115e-08,2.9660855105362316e-08
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,remove_top_band,rendered/remove_top_band/train__013__013_3__Path1__remove_top_band.png,0.9266906612691478,0.005047914106398821,0.025639880448579788,0.10768883675336838,0.0,0.04325885325670242,0.0
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,remove_bottom_band,rendered/remove_bottom_band/train__013__013_3__Path1__remove_bottom_band.png,0.9999960230988068,2.8639235097216442e-05,0.0001838051393860951,0.0,0.000610970426350832,0.0002443221164867282,0.0
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,remove_border,rendered/remove_border/train__013__013_3__Path1__remove_border.png,0.9620225174009005,0.0023756653536111116,0.017849087715148926,0.03292297571897507,0.0004575737111736089,0.020075568929314613,0.0
train__013__013_3__Path1,train,013,013.3,013/013.3/Radargrams/Path1.sgy,time_reverse,rendered/time_reverse/train__013__013_3__Path1__time_reverse.png,0.000696379774101337,0.04830413684248924,0.09213700145483017,0.03303774818778038,0.03303774818778038,0.03947391360998154,0.049447186291217804
val__011__011_1__Path1,val,011,011.1,011/011.1/Radargrams/Path1.sgy,original,rendered/original/val__011__011_1__Path1__original.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val__011__011_1__Path1,val,011,011.1,011/011.1/Radargrams/Path1.sgy,log_clip,rendered/log_clip/val__011__011_1__Path1__log_clip.png,0.5268215182576956,0.1742342710494995,0.19442638754844666,0.14777176082134247,0.12038024514913559,0.14861378073692322,0.1781066209077835
val__011__011_1__Path1,val,011,011.1,011/011.1/Radargrams/Path1.sgy,zscore_clip,rendered/zscore_clip/val__011__011_1__Path1__zscore_clip.png,0.9303002349911234,0.055723272264003754,0.07451573014259338,0.043099116533994675,0.0426926426589489,0.04723594710230827,0.05700088292360306
