seed,dose,metric,value
20260811,0.00,accuracy,0.8668941979522184
20260811,0.00,balanced_accuracy,0.8566422877929859
20260811,0.00,macro_f1,0.857873240491165
20260811,0.00,mean_confidence,0.9029916581619859
20260811,0.00,correct_mean_confidence,0.9279252389287509
20260811,0.00,incorrect_mean_confidence,0.7406037218861324
20260811,0.00,ece_10bin,0.04206308260592459
20260811,0.00,worst_class_recall,0.6904761904761905
20260811,0.00,class_recall_spread,0.2995735607675907
20260811,0.00,prediction_entropy,0.974294200525518
20260811,0.05,accuracy,0.8875219683655536
20260811,0.05,balanced_accuracy,0.8799466474416723
20260811,0.05,macro_f1,0.8814635267955951
20260811,0.05,mean_confidence,0.9060102611247932
20260811,0.05,correct_mean_confidence,0.9268553229469737
20260811,0.05,incorrect_mean_confidence,0.7415296951841501
20260811,0.05,ece_10bin,0.022462251754173372
20260811,0.05,worst_class_recall,0.7672955974842768
20260811,0.05,class_recall_spread,0.21739828006674367
20260811,0.05,prediction_entropy,0.983408283067108
20260811,0.10,accuracy,0.8614564831261101
20260811,0.10,balanced_accuracy,0.8505087446509437
20260811,0.10,macro_f1,0.8516654478714099
20260811,0.10,mean_confidence,0.9011781669081363
20260811,0.10,correct_mean_confidence,0.928503144730504
20260811,0.10,incorrect_mean_confidence,0.7312728560895673
20260811,0.10,ece_10bin,0.042441125402330804
20260811,0.10,worst_class_recall,0.6728395061728395
20260811,0.10,class_recall_spread,0.31161645237638325
20260811,0.10,prediction_entropy,0.9724200665307183
20260811,0.20,accuracy,0.8763636363636363
20260811,0.20,balanced_accuracy,0.8646485665104103
20260811,0.20,macro_f1,0.8666928634282852
20260811,0.20,mean_confidence,0.9076164960074828
20260811,0.20,correct_mean_confidence,0.928376154446041
20260811,0.20,incorrect_mean_confidence,0.7604671523694657
20260811,0.20,ece_10bin,0.038518637393742367
20260811,0.20,worst_class_recall,0.7096774193548387
20260811,0.20,class_recall_spread,0.2801184990125082
20260811,0.20,prediction_entropy,0.9762579712810608
20260811,0.40,accuracy,0.928
20260811,0.40,balanced_accuracy,0.9151906082559217
20260811,0.40,macro_f1,0.9194359555888703
20260811,0.40,mean_confidence,0.9084735608446827
20260811,0.40,correct_mean_confidence,0.9244086821300046
20260811,0.40,incorrect_mean_confidence,0.7030875531671976
20260811,0.40,ece_10bin,0.023258023305863025
20260811,0.40,worst_class_recall,0.7894736842105263
20260811,0.40,class_recall_spread,0.19977362761743067
20260811,0.40,prediction_entropy,0.9746541576988755
20260812,0.00,accuracy,0.8668941979522184
20260812,0.00,balanced_accuracy,0.8566422877929859
20260812,0.00,macro_f1,0.857873240491165
20260812,0.00,mean_confidence,0.8992442044120058
20260812,0.00,correct_mean_confidence,0.9242841843485461
20260812,0.00,incorrect_mean_confidence,0.7361633094406923
20260812,0.00,ece_10bin,0.033115404448198056
20260812,0.00,worst_class_recall,0.6904761904761905
20260812,0.00,class_recall_spread,0.2995735607675907
20260812,0.00,prediction_entropy,0.974294200525518
20260812,0.05,accuracy,0.8611599297012302
20260812,0.05,balanced_accuracy,0.8491552839683681
20260812,0.05,macro_f1,0.8507590272296155
20260812,0.05,mean_confidence,0.9022135099569728
20260812,0.05,correct_mean_confidence,0.9280714568284452
20260812,0.05,incorrect_mean_confidence,0.7418287761972074
20260812,0.05,ece_10bin,0.04555195952246015
20260812,0.05,worst_class_recall,0.675
20260812,0.05,class_recall_spread,0.3096153846153846
20260812,0.05,prediction_entropy,0.9719610838727974
20260812,0.10,accuracy,0.8596802841918295
20260812,0.10,balanced_accuracy,0.8490307321625686
20260812,0.10,macro_f1,0.8500028906532971
20260812,0.10,mean_confidence,0.9038801286676524
20260812,0.10,correct_mean_confidence,0.9329294577389353
20260812,0.10,incorrect_mean_confidence,0.7259070239777681
20260812,0.10,ece_10bin,0.05305295515632459
20260812,0.10,worst_class_recall,0.6728395061728395
20260812,0.10,class_recall_spread,0.31679779952664233
20260812,0.10,prediction_entropy,0.9725972919444622
20260812,0.20,accuracy,0.8872727272727273
20260812,0.20,balanced_accuracy,0.8763792838836189
20260812,0.20,macro_f1,0.8787211594826415
20260812,0.20,mean_confidence,0.9050560912019444
20260812,0.20,correct_mean_confidence,0.9236885303418252
20260812,0.20,incorrect_mean_confidence,0.7584007637783666
20260812,0.20,ece_10bin,0.03219460524862264
20260812,0.20,worst_class_recall,0.7151898734177216
20260812,0.20,class_recall_spread,0.2640847379812422
20260812,0.20,prediction_entropy,0.974950168775842
20260812,0.40,accuracy,0.892
20260812,0.40,balanced_accuracy,0.8774545303570846
20260812,0.40,macro_f1,0.8803207078824763
20260812,0.40,mean_confidence,0.9160508882323005
20260812,0.40,correct_mean_confidence,0.9355276460978145
20260812,0.40,incorrect_mean_confidence,0.7551872954912017
20260812,0.40,ece_10bin,0.027964747285918544
20260812,0.40,worst_class_recall,0.725925925925926
20260812,0.40,class_recall_spread,0.25233494363929143
20260812,0.40,prediction_entropy,0.9756533486880641
20260813,0.00,accuracy,0.8668941979522184
20260813,0.00,balanced_accuracy,0.8566422877929859
20260813,0.00,macro_f1,0.857873240491165
20260813,0.00,mean_confidence,0.9023655422264217
20260813,0.00,correct_mean_confidence,0.9274923998001092
20260813,0.00,incorrect_mean_confidence,0.7387188287977902
20260813,0.00,ece_10bin,0.03627172284618335
20260813,0.00,worst_class_recall,0.6904761904761905
20260813,0.00,class_recall_spread,0.2995735607675907
20260813,0.00,prediction_entropy,0.974294200525518
20260813,0.05,accuracy,0.8857644991212654
20260813,0.05,balanced_accuracy,0.8779480190111032
20260813,0.05,macro_f1,0.8793605459135474
20260813,0.05,mean_confidence,0.8979295317005583
