best_epoch,grl_lambda,protocol,seed,test_domain_balanced_accuracy,test_n,test_target_balanced_accuracy,test_target_macro_f1,train_n,val_domain_balanced_accuracy,val_n,val_target_balanced_accuracy,val_target_macro_f1
37,0.0,current_fold0_test_fold1_val,20260810,0.6745059611301649,586,0.7468036163269672,0.7449102145042645,1512,0.7334915084915086,426,0.7623157330474403,0.7572056061920748
76,0.1,current_fold0_test_fold1_val,20260810,0.6553828337267827,586,0.7380226364338064,0.7372915722852597,1512,0.7255744255744255,426,0.7659854373269007,0.7557102041312568
32,0.5,current_fold0_test_fold1_val,20260810,0.6523465918370377,586,0.7465475999419185,0.745743129638799,1512,0.7135614385614386,426,0.748607388546413,0.7480291667430675
10,1.0,current_fold0_test_fold1_val,20260810,0.622451858120648,586,0.7509046549128398,0.750936129736066,1512,0.6635614385614386,426,0.745348655409631,0.7405646325001164
84,0.0,current_fold0_test_fold1_val,20260811,0.659584576782029,586,0.7383187747896462,0.7383149736603488,1512,0.7188811188811188,426,0.7373224336638972,0.7308425298054337
72,0.1,current_fold0_test_fold1_val,20260811,0.6580256261784925,586,0.7376558069865725,0.7373428876520646,1512,0.7219280719280718,426,0.7455541409809703,0.7392346456458468
68,0.5,current_fold0_test_fold1_val,20260811,0.6289549092096862,586,0.7337697075299386,0.7328181784886745,1512,0.7055694305694306,426,0.7451476369159297,0.742531723220819
27,1.0,current_fold0_test_fold1_val,20260811,0.5959274271376183,586,0.7345100534195383,0.7288077642092241,1512,0.6804945054945055,426,0.7369136960600375,0.7365598934198941
96,0.0,current_fold0_test_fold1_val,20260812,0.660519947144151,586,0.7370157660239509,0.7367205577935289,1512,0.7001248751248752,426,0.7562248726882874,0.7453847898864296
59,0.1,current_fold0_test_fold1_val,20260812,0.6368981337134203,586,0.7184784602333952,0.7165201466266135,1512,0.7147852147852147,426,0.7592781202537301,0.7563515355089606
39,0.5,current_fold0_test_fold1_val,20260812,0.6514928807922438,586,0.7438422327685689,0.741964483658741,1512,0.7011738261738262,426,0.7515456088626822,0.7490883532106479
39,1.0,current_fold0_test_fold1_val,20260812,0.620647929565127,586,0.7459591443703143,0.7457764338833113,1512,0.6584665334665334,426,0.7439236576431698,0.7369849589420694
63,0.0,current_fold0_test_fold1_val,20260813,0.6480112244443454,586,0.7440972938685987,0.7433342486756142,1512,0.7183566433566433,426,0.7533838113106407,0.7461861663074472
25,0.1,current_fold0_test_fold1_val,20260813,0.658649206419907,586,0.7456744694347005,0.7444326244068531,1512,0.737962037962038,426,0.7649714107031181,0.7629003220841665
10,0.5,current_fold0_test_fold1_val,20260813,0.6627692901578253,586,0.7493160159265119,0.7492076249616563,1512,0.7063436563436563,426,0.7445468149736443,0.7390801683802012
26,1.0,current_fold0_test_fold1_val,20260813,0.5331017178150936,586,0.7306573889385636,0.7287622594434217,1512,0.5846653346653347,426,0.7459494773519163,0.7447291956917118
38,0.0,current_fold0_test_fold1_val,20260814,0.6600596855373926,586,0.7463957096239234,0.7454550850090933,1512,0.7192057942057942,426,0.7628394979004735,0.7597759298113066
