protocol,seed,test_fold,val_fold,removed_source_directions,train_n,test_n,train_source_classes,test_source_classes,shared_source_classes,train_target_counts,test_target_counts,target_accuracy,target_balanced_accuracy,target_macro_f1,target_nll,target_ece_10bin,target_mean_confidence,source_probe_accuracy,source_probe_balanced_accuracy,source_probe_macro_f1,delta_target_minus_k0_accuracy,delta_target_minus_k0_balanced_accuracy,delta_target_minus_k0_macro_f1,delta_target_minus_k0_nll,delta_target_minus_k0_ece_10bin,delta_target_minus_k0_mean_confidence,delta_source_probe_minus_k0_accuracy,delta_source_probe_minus_k0_balanced_accuracy,delta_source_probe_minus_k0_macro_f1
current_fold0_test_fold1_val,20260811,0,1,0,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.6655290102389079,0.5736789749528604,0.5736789749528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_fold0_test_fold1_val,20260811,0,1,1,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7013651877133106,0.6875998272844686,0.6843717929432215,2.4394282301699985,0.23789239199918158,0.9354502912128904,0.26791808873720135,0.5,0.21130551816958276,-0.08191126279863481,-0.08652207472621531,-0.08885890379763506,1.3960895124464858,0.07275671175507989,-0.012961839543156772,-0.3976109215017065,-0.07367897495286035,-0.3623734567832776
task_aware_fold0_test_fold3_val,20260811,0,3,0,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.6706484641638225,0.5812139028699539,0.5810486933007353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_aware_fold0_test_fold3_val,20260811,0,3,1,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.6945392491467577,0.6806806978930234,0.6805078381676523,2.143460850924876,0.25357011287694065,0.9446062535831647,0.26791808873720135,0.5,0.21130551816958276,-0.13651877133105805,-0.14028169444635497,-0.14063316410833326,1.3223860448695144,0.13281511449860017,-0.000666286511848746,-0.40273037542662116,-0.08121390286995389,-0.3697431751311525
current_fold0_test_fold1_val,20260812,0,1,0,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.6655290102389079,0.5736789749528604,0.5736789749528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_fold0_test_fold1_val,20260812,0,1,1,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7013651877133106,0.6875998272844686,0.6843717929432215,2.4394282301699985,0.23789239199918158,0.9354502912128904,0.26791808873720135,0.5,0.21130551816958276,-0.08191126279863481,-0.08652207472621531,-0.08885890379763506,1.3960895124464858,0.07275671175507989,-0.012961839543156772,-0.3976109215017065,-0.07367897495286035,-0.3623734567832776
task_aware_fold0_test_fold3_val,20260812,0,3,0,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.6706484641638225,0.5812139028699539,0.5810486933007353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_aware_fold0_test_fold3_val,20260812,0,3,1,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.6945392491467577,0.6806806978930234,0.6805078381676523,2.143460850924876,0.25357011287694065,0.9446062535831647,0.26791808873720135,0.5,0.21130551816958276,-0.13651877133105805,-0.14028169444635497,-0.14063316410833326,1.3223860448695144,0.13281511449860017,-0.000666286511848746,-0.40273037542662116,-0.08121390286995389,-0.3697431751311525
current_fold0_test_fold1_val,20260813,0,1,0,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.6655290102389079,0.5736789749528604,0.5736789749528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_fold0_test_fold1_val,20260813,0,1,1,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7013651877133106,0.6875998272844686,0.6843717929432215,2.4394282301699985,0.23789239199918158,0.9354502912128904,0.26791808873720135,0.5,0.21130551816958276,-0.08191126279863481,-0.08652207472621531,-0.08885890379763506,1.3960895124464858,0.07275671175507989,-0.012961839543156772,-0.3976109215017065,-0.07367897495286035,-0.3623734567832776
task_aware_fold0_test_fold3_val,20260813,0,3,0,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.6706484641638225,0.5812139028699539,0.5810486933007353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_aware_fold0_test_fold3_val,20260813,0,3,1,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.6945392491467577,0.6806806978930234,0.6805078381676523,2.143460850924876,0.25357011287694065,0.9446062535831647,0.26791808873720135,0.5,0.21130551816958276,-0.13651877133105805,-0.14028169444635497,-0.14063316410833326,1.3223860448695144,0.13281511449860017,-0.000666286511848746,-0.40273037542662116,-0.08121390286995389,-0.3697431751311525
current_fold0_test_fold1_val,20260814,0,1,0,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.6655290102389079,0.5736789749528604,0.5736789749528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_fold0_test_fold1_val,20260814,0,1,1,1512,586,2,2,2,"{""0"": 384, ""1"": 610, ""2"": 518}","{""0"": 168, ""1"": 201, ""2"": 217}",0.7013651877133106,0.6875998272844686,0.6843717929432215,2.4394282301699985,0.23789239199918158,0.9354502912128904,0.26791808873720135,0.5,0.21130551816958276,-0.08191126279863481,-0.08652207472621531,-0.08885890379763506,1.3960895124464858,0.07275671175507989,-0.012961839543156772,-0.3976109215017065,-0.07367897495286035,-0.3623734567832776
task_aware_fold0_test_fold3_val,20260814,0,3,0,1489,586,2,2,2,"{""0"": 360, ""1"": 597, ""2"": 532}","{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.6706484641638225,0.5812139028699539,0.5810486933007353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
