dataset_id,asset_role,sample_id,label,label_source,rel_path,abs_path,file_sha256,raw_trace_id,project_id,activity_id,site_id,survey_line_id,device_id,antenna_frequency_mhz,acquisition_date,operator_id,processing_chain_id,export_format,width_px,height_px,is_augmented,augmentation_ancestor_id,exact_duplicate_group,near_duplicate_group,source_group,fold_id,split_protocol,split_role,created_by,created_date,notes
four_tu,core,four_tu:010.1:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.1\Path1.npy,3117463698107bf4e886f2350161c865a9d52fb310fbd093059f47fc175e77aa,010/010.1/Radargrams/Path1.sgy,010,010.1,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,423,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.10:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.10/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.10\Path1.npy,fc7c822a7f4aa7e93eae40ca9f084224aebe8ae414ca3d291236099ae32c70fc,010/010.10/Radargrams/Path1.sgy,010,010.10,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,226,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.11:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.11/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.11\Path1.npy,9e38340b7d94dca9acca38f5e778424737cbd5dfc3387ddbe7aa828ced077991,010/010.11/Radargrams/Path1.sgy,010,010.11,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,568,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.12:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.12/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.12\Path1.npy,9e38340b7d94dca9acca38f5e778424737cbd5dfc3387ddbe7aa828ced077991,010/010.12/Radargrams/Path1.sgy,010,010.12,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,568,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.13:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.13/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.13\Path1.npy,24ae5deee9fea56bde8184ee529f2e9698d2555f38f72d4f15c92d885348e157,010/010.13/Radargrams/Path1.sgy,010,010.13,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,132,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.14:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.14/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.14\Path1.npy,184e66a9885b107fcdb60a0d51874f15ab4840c701b59b78211372009df704bc,010/010.14/Radargrams/Path1.sgy,010,010.14,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,3377,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.15:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.15/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.15\Path1.npy,fa1e076b39505e359a8a1aa100676d4223d6f19851c963e0ff5f0c2ab922dc64,010/010.15/Radargrams/Path1.sgy,010,010.15,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,14516,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.16:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.16/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.16\Path1.npy,fa1e076b39505e359a8a1aa100676d4223d6f19851c963e0ff5f0c2ab922dc64,010/010.16/Radargrams/Path1.sgy,010,010.16,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,14516,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.17:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.17/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.17\Path1.npy,e74c2b062ac6861253a089221e73735bb435c4392f429934d2dce71b724171be,010/010.17/Radargrams/Path1.sgy,010,010.17,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,9054,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
four_tu,core,four_tu:010.18:Path1,unlabeled_raw_trace_matrix,not_applicable_for_current_raw_trace_manifest,010/010.18/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_baseline_package_v1\test\010\010.18\Path1.npy,d70e890c4b3fe4b8fb999eabf1c7c5959e8917fcfa7fc0ef6f131e6c36cd8633,010/010.18/Radargrams/Path1.sgy,010,010.18,,Path1,,,,,segy_to_fixed_shape_npy_baseline_v1,npy,3768,512,0,,,,project:010,,project_holdout_baseline_v1,test,build_unified_sample_manifests.py,2026-08-10,4TU baseline package matrix; target labels require task-specific joins
