balanced_accuracy_delta_vs_original,prediction_flip_rate_vs_original,selected_model,test_balanced_accuracy,unit
-0.380952380952381,0.8333333333333334,extra_trees,0.09523809523809523,20260810
-0.07196969696969696,0.9583333333333334,rbf_svm,0.3333333333333333,20260810
0.0,0.0,dummy_majority,0.5,20260810
0.0,0.0,dummy_majority,0.5,20260810
-0.21428571428571425,0.5833333333333334,rbf_svm,0.3333333333333333,20260811
-0.07196969696969696,0.9583333333333334,rbf_svm,0.3333333333333333,20260811
0.0,0.0,dummy_majority,0.5,20260811
0.0,0.0,dummy_majority,0.5,20260811
-0.33333333333333326,0.875,extra_trees,0.07142857142857142,20260812
-0.07196969696969696,0.9583333333333334,rbf_svm,0.3333333333333333,20260812
0.0,0.0,dummy_majority,0.5,20260812
0.0,0.0,dummy_majority,0.5,20260812
-0.3095238095238095,0.875,extra_trees,0.09523809523809523,20260813
-0.07196969696969696,0.9583333333333334,rbf_svm,0.3333333333333333,20260813
0.0,0.0,dummy_majority,0.5,20260813
0.0,0.0,dummy_majority,0.5,20260813
-0.3333333333333333,0.875,extra_trees,0.09523809523809523,20260814
-0.07196969696969696,0.9583333333333334,rbf_svm,0.3333333333333333,20260814
0.0,0.0,dummy_majority,0.5,20260814
0.0,0.0,dummy_majority,0.5,20260814
0.0,0.0,rbf_svm,0.3333333333333333,20260810
0.0,0.0,dummy_majority,0.3333333333333333,20260811
-0.007440476190476164,0.12903225806451613,extra_trees,0.2604166666666667,20260812
-0.07692307692307693,0.8095238095238095,extra_trees,0.23076923076923078,20260813
0.0,0.0,rbf_svm,0.25,20260814
