protocol,test_fold,val_fold,seed,train_n,test_n,shared_source_groups,erm_accuracy,erm_balanced_accuracy,erm_macro_f1,erm_nll,erm_ece_10bin,erm_mean_confidence,erm_worst_source_accuracy,erm_source_accuracy_spread,erm_train_group_count,erm_max_final_group_weight,source_group_dro_accuracy,source_group_dro_balanced_accuracy,source_group_dro_macro_f1,source_group_dro_nll,source_group_dro_ece_10bin,source_group_dro_mean_confidence,source_group_dro_worst_source_accuracy,source_group_dro_source_accuracy_spread,source_group_dro_train_group_count,source_group_dro_max_final_group_weight,label_source_group_dro_accuracy,label_source_group_dro_balanced_accuracy,label_source_group_dro_macro_f1,label_source_group_dro_nll,label_source_group_dro_ece_10bin,label_source_group_dro_mean_confidence,label_source_group_dro_worst_source_accuracy,label_source_group_dro_source_accuracy_spread,label_source_group_dro_train_group_count,label_source_group_dro_max_final_group_weight,processing_role_dro_accuracy,processing_role_dro_balanced_accuracy,processing_role_dro_macro_f1,processing_role_dro_nll,processing_role_dro_ece_10bin,processing_role_dro_mean_confidence,processing_role_dro_worst_source_accuracy,processing_role_dro_source_accuracy_spread,processing_role_dro_train_group_count,processing_role_dro_max_final_group_weight,delta_source_group_dro_minus_erm_accuracy,delta_source_group_dro_minus_erm_balanced_accuracy,delta_source_group_dro_minus_erm_macro_f1,delta_source_group_dro_minus_erm_nll,delta_source_group_dro_minus_erm_ece_10bin,delta_source_group_dro_minus_erm_mean_confidence,delta_source_group_dro_minus_erm_worst_source_accuracy,delta_source_group_dro_minus_erm_source_accuracy_spread,delta_label_source_group_dro_minus_erm_accuracy,delta_label_source_group_dro_minus_erm_balanced_accuracy,delta_label_source_group_dro_minus_erm_macro_f1,delta_label_source_group_dro_minus_erm_nll,delta_label_source_group_dro_minus_erm_ece_10bin,delta_label_source_group_dro_minus_erm_mean_confidence,delta_label_source_group_dro_minus_erm_worst_source_accuracy,delta_label_source_group_dro_minus_erm_source_accuracy_spread,delta_processing_role_dro_minus_erm_accuracy,delta_processing_role_dro_minus_erm_balanced_accuracy,delta_processing_role_dro_minus_erm_macro_f1,delta_processing_role_dro_minus_erm_nll,delta_processing_role_dro_minus_erm_ece_10bin,delta_processing_role_dro_minus_erm_mean_confidence,delta_processing_role_dro_minus_erm_worst_source_accuracy,delta_processing_role_dro_minus_erm_source_accuracy_spread
current_fold0_test_fold1_val,0,1,20260811,1512,586,0,0.7918088737201365,0.7812731656617068,0.7807089385493632,0.6113842437881266,0.11751911143045231,0.9093279851505887,0.0,1.0,1,1.0,0.7747440273037542,0.7658711053029782,0.764604122667409,0.6414956589465652,0.1368685150326784,0.9116125423364326,0.0,1.0,408,0.02897352049043511,0.7747440273037542,0.7666448861682372,0.7655034936940047,0.6551155063301367,0.1376124454628314,0.9123564727665857,0.0,1.0,432,0.025291276022638705,0.7935153583617748,0.7835830448372576,0.7831757292171339,0.6113871522597853,0.11636759587833478,0.9098829542401097,0.0,1.0,2,0.80726356658817,-0.017064846416382284,-0.015402060358728598,-0.016104815881954226,0.030111415158438626,0.019349403602226103,0.0022845571858439717,0.0,0.0,-0.017064846416382284,-0.014628279493469565,-0.015205444855358463,0.043731262542010096,0.020093334032379104,0.0030284876159970553,0.0,0.0,0.0017064846416382506,0.002309879175550811,0.0024667906677706686,2.908471658735756e-06,-0.001151515552117524,0.000554969089521018,0.0,0.0
task_aware_fold0_test_fold3_val,0,3,20260811,1489,586,0,0.8208191126279863,0.8107274686475456,0.8114525141146302,0.5240196040144195,0.08145586063523266,0.9022749732632191,0.0,1.0,1,1.0,0.8088737201365188,0.7978158363329283,0.7980139100287502,0.5448961214172712,0.10348027860333468,0.9029199159377418,0.14285714285714285,0.8571428571428572,406,0.02665591369934334,0.8088737201365188,0.7994856745458575,0.7992379688288471,0.5455550974201442,0.0995263049040621,0.9030903538584114,0.14285714285714285,0.8571428571428572,430,0.023773635391312345,0.8225255972696246,0.8130373478230964,0.8138840722733339,0.5203125130511852,0.0820389523849559,0.9014311190932601,0.0,1.0,2,0.7887054980689204,-0.011945392491467532,-0.012911632314617338,-0.013438604085879935,0.02087651740285168,0.02202441796810202,0.0006449426745226416,0.14285714285714285,-0.1428571428571428,-0.011945392491467532,-0.01124179410168813,-0.01221454528578303,0.021535493405724693,0.018070444268829436,0.000815380595192261,0.14285714285714285,-0.1428571428571428,0.0017064846416382506,0.002309879175550811,0.0024315581587037727,-0.003707090963234294,0.0005830917497232357,-0.0008438541699590241,0.0,0.0
current_fold0_test_fold1_val,0,1,20260812,1512,586,0,0.7935153583617748,0.7832572926458338,0.7829164440681269,0.6136741206491353,0.11660732187987163,0.9101226802416463,0.0,1.0,1,1.0,0.7713310580204779,0.7617805748523129,0.7605313394450773,0.6462307266488009,0.14075807288082526,0.9120891309013032,0.0,1.0,408,0.029043196555438754,0.7781569965870307,0.770165111462656,0.769186291456201,0.6611433158334552,0.13564475205146986,0.9117448643013508,0.0,1.0,432,0.02477164218962482,0.7969283276450512,0.7875512988055116,0.7874376028100304,0.6137221815080828,0.11380049658464368,0.9107288242296949,0.0,1.0,2,0.8079297489413362,-0.022184300341296925,-0.021476717793520894,-0.022385104623049545,0.03255660599966559,0.024150751000953624,0.0019664506596568376,0.0,0.0,-0.015358361774744034,-0.013092181183177787,-0.013730152611925894,0.04746919518431991,0.01903743017159823,0.00162218405970449,0.0,0.0,0.0034129692832763903,0.004294006159677788,0.004521158741903508,4.806085894748513e-05,-0.002806825295227952,0.0006061439880485908,0.0,0.0
task_aware_fold0_test_fold3_val,0,3,20260812,1489,586,0,0.8174061433447098,0.8075329955445506,0.807999607303335,0.5263726300003226,0.08840081397690497,0.9028332386274933,0.0,1.0,1,1.0,0.8156996587030717,0.8055488685604236,0.8061214129896711,0.5476219561904769,0.09288954880610725,0.9034823327122055,0.14285714285714285,0.8571428571428572,406,0.027326978521696965,0.8122866894197952,0.8026801476488526,0.8025999831607308,0.5484892118591155,0.09997423239002975,0.9039118118526154,0.14285714285714285,0.8571428571428572,430,0.02429755036928341,0.8225255972696246,0.8130373478230964,0.8138686501706629,0.5224277924334841,0.08376651054778718,0.9020383619271022,0.0,1.0,2,0.7894723224319751,-0.0017064846416381396,-0.001984126984126977,-0.0018781943136638724,0.021249326190154294,0.004488734829202284,0.0006490940847121429,0.14285714285714285,-0.1428571428571428,-0.005119453924914641,-0.004852847895697954,-0.005399624142604198,0.02211658185879284,0.011573418413124786,0.0010785732251220592,0.14285714285714285,-0.1428571428571428,0.005119453924914752,0.005504352278545843,0.005869042867327923,-0.003944837566838499,-0.004634303429117789,-0.0007948767003911339,0.0,0.0
current_fold0_test_fold1_val,0,1,20260813,1512,586,0,0.7918088737201365,0.7811508891792956,0.7807557322804511,0.6125178448589715,0.11996686506152503,0.909320467491174,0.0,1.0,1,1.0,0.773037542662116,0.7640092548012625,0.7625509270346934,0.6429510892961148,0.13903975894432474,0.9120773016064407,0.0,1.0,408,0.02925128145306308,0.773037542662116,0.7647830356665214,0.7634177288894519,0.6574009820229565,0.1386639796407857,0.9117015223029018,0.0,1.0,432,0.02500470513080849,0.7901023890784983,0.7794925143865924,0.7789813907335787,0.6126122630771108,0.11951107865287648,0.9096134677313749,0.0,1.0,2,0.8089833442348664,-0.018771331058020535,-0.017141634378033177,-0.018204805245757738,0.030433244437143236,0.019072893882799716,0.0027568341152667264,0.0,0.0,-0.018771331058020535,-0.016367853512774255,-0.017338003390999224,0.044883137163984954,0.018697114579260668,0.0023810548117277897,0.0,0.0,-0.0017064846416382506,-0.0016583747927032544,-0.0017743415468723933,9.441821813926943e-05,-0.00045578640864854525,0.0002930002402008469,0.0,0.0
task_aware_fold0_test_fold3_val,0,3,20260813,1489,586,0,0.8208191126279863,0.8107274686475456,0.81161061583436,0.5226791395705984,0.08302476452661639,0.9026542893313072,0.0,1.0,1,1.0,0.8174061433447098,0.8075329955445506,0.8078432654951345,0.5406393424756968,0.09180647759309196,0.9031046977535415,0.14285714285714285,0.8571428571428572,406,0.02728086392283231,0.8139931740614335,0.8049900268244033,0.8048998048073606,0.5416801151588758,0.09528073253121219,0.9029414795521976,0.14285714285714285,0.8571428571428572,430,0.02435811636485483,0.8225255972696246,0.8127115956316727,0.8136835564672643,0.518799983000007,0.08364618580168033,0.9018056610655905,0.0,1.0,2,0.7894232314097492,-0.0034129692832765013,-0.0031944731029950324,-0.0037673503392254837,0.017960202905098366,0.008781713066475572,0.0004504084222343163,0.14285714285714285,-0.1428571428571428,-0.0068259385665528916,-0.005737441823142286,-0.006710811026999441,0.019000975588277402,0.012255968004595802,0.0002871902208904098,0.14285714285714285,-0.1428571428571428,0.0017064846416382506,0.001984126984127088,0.0020729406329043076,-0.0038791565705914577,0.0006214212750639408,-0.0008486282657167443,0.0,0.0
current_fold0_test_fold1_val,0,1,20260814,1512,586,0,0.7935153583617748,0.7833795691282451,0.7828982994329264,0.6158616172430135,0.1147634456314868,0.9082788039932617,0.0,1.0,1,1.0,0.7696245733788396,0.7606925052158563,0.7593556528254268,0.646307092677428,0.1413315080591207,0.9109560814379601,0.0,1.0,408,0.02927020617486125,0.7781569965870307,0.7709388923279149,0.7699413770474152,0.6605981802376466,0.13537222419312228,0.9114348943008895,0.0,1.0,432,0.025256646398483712,0.7918088737201365,0.7820469465269658,0.7817016226521649,0.616139397768081,0.11710708246692336,0.9089159561870598,0.0,1.0,2,0.8101284581657748,-0.023890784982935176,-0.02268706391238884,-0.023542646607499607,0.03044547543441456,0.026568062427633904,0.002677277444698478,0.0,0.0,-0.015358361774744034,-0.01244067680033023,-0.012956922385511271,0.04473656299463313,0.020608778561635482,0.003156090307627868,0.0,0.0,-0.0017064846416382506,-0.0013326226012793096,-0.0011966767807615186,0.00027778052506755024,0.0023436368354365633,0.0006371521937981184,0.0,0.0
task_aware_fold0_test_fold3_val,0,3,20260814,1489,586,0,0.8156996587030717,0.805671145042835,0.8060691981511093,0.5322306772492503,0.08955855426722886,0.9010126867473028,0.0,1.0,1,1.0,0.810580204778157,0.7997999633170553,0.8000949651336388,0.5503527678589375,0.09681011919353077,0.9031658254014369,0.14285714285714285,0.8571428571428572,406,0.026989471724445845,0.810580204778157,0.8010217728561494,0.8007794441096238,0.5518895502636986,0.0923817329812072,0.9028708092651327,0.14285714285714285,0.8571428571428572,430,0.02408847762214689,0.8208191126279863,0.8115012495128046,0.8123300707193325,0.528427921863358,0.07939608244370605,0.9002151950716926,0.0,1.0,2,0.7914646847903377,-0.005119453924914752,-0.005871181725779717,-0.005974233017470576,0.01812209060968717,0.007251564926301912,0.0021531386541340236,0.14285714285714285,-0.1428571428571428,-0.005119453924914752,-0.004649372186685596,-0.005289754041485573,0.01965887301444824,0.0028231787139783443,0.0018581225178299077,0.14285714285714285,-0.1428571428571428,0.005119453924914641,0.005830104469969566,0.006260872568223164,-0.0038027553858923646,-0.010162471823522812,-0.0007974916756102735,0.0,0.0
current_fold0_test_fold1_val,0,1,20260815,1512,586,0,0.7866894197952219,0.7760945655745849,0.7753446895399899,0.6117405486099756,0.1223170894982927,0.9090065092935145,0.0,1.0,1,1.0,0.773037542662116,0.7638869783188512,0.7625841957052147,0.6435485218034882,0.13855395257390185,0.9111429376346735,0.0,1.0,408,0.02894006578060224,0.7747440273037542,0.7675409435159075,0.7662768463890025,0.6579197480649874,0.13642710377189537,0.9111711310756498,0.0,1.0,432,0.02534478261211023,0.7918088737201365,0.781721194335542,0.7811974983652186,0.6116787349137625,0.11774445416900323,0.9095533278891397,0.0,1.0,2,0.8075364753381455,-0.013651877133105894,-0.012207587255733676,-0.012760493834775177,0.031807973193512584,0.016236863075609148,0.0021364283411590135,0.0,0.0,-0.011945392491467643,-0.00855362205867738,-0.009067843150987409,0.04617919945501181,0.014110014273602672,0.0021646217821353897,0.0,0.0,0.005119453924914641,0.0056266287609570975,0.00585280882522865,-6.181369621316435e-05,-0.004572635329289476,0.0005468185956252203,0.0,0.0
task_aware_fold0_test_fold3_val,0,3,20260815,1489,586,0,0.8225255972696246,0.8127115956316727,0.8134880646331419,0.5199786841960969,0.07888441234203125,0.9014100096116556,0.0,1.0,1,1.0,0.8139931740614335,0.8038904937677205,0.8044382481674841,0.5377456219397033,0.09582983269336925,0.9030475800056939,0.14285714285714285,0.8571428571428572,406,0.026843163218112902,0.810580204778157,0.8014698015299846,0.8011549157877593,0.5383460052438053,0.0988994680164526,0.9027342808818354,0.14285714285714285,0.8571428571428572,430,0.02388986198905365,0.8191126279863481,0.8093948460462664,0.8099232608126653,0.5162592622030797,0.08163582909613269,0.9007484570824807,0.0,1.0,2,0.7883735226137151,-0.008532423208191142,-0.008821101863952241,-0.009049816465657834,0.01776693774360638,0.016945420351338003,0.0016375703940382236,0.14285714285714285,-0.1428571428571428,-0.011945392491467643,-0.01124179410168813,-0.012333148845382613,0.01836732104770833,0.020015055674421342,0.0013242712701797554,0.14285714285714285,-0.1428571428571428,-0.0034129692832765013,-0.0033167495854062867,-0.0035648038204766364,-0.0037194219930172245,0.0027514167541014406,-0.0006615525291748803,0.0,0.0
